epoch,accuracy,val_accuracy
1.790000000000000000e+02,9.065880179405212402e-01,1.000000000000000000e+00
1.800000000000000000e+02,9.134709835052490234e-01,9.954128265380859375e-01
1.810000000000000000e+02,9.095378518104553223e-01,9.954128265380859375e-01
1.820000000000000000e+02,8.859390616416931152e-01,9.954128265380859375e-01
1.830000000000000000e+02,8.967551589012145996e-01,9.954128265380859375e-01
1.840000000000000000e+02,8.938053250312805176e-01,9.954128265380859375e-01
1.850000000000000000e+02,9.046214222908020020e-01,9.954128265380859375e-01
1.860000000000000000e+02,9.046214222908020020e-01,9.954128265380859375e-01
1.870000000000000000e+02,8.967551589012145996e-01,1.000000000000000000e+00
1.880000000000000000e+02,9.026548862457275391e-01,9.954128265380859375e-01
1.890000000000000000e+02,8.957718610763549805e-01,9.954128265380859375e-01
1.900000000000000000e+02,9.095378518104553223e-01,9.954128265380859375e-01
1.910000000000000000e+02,9.065880179405212402e-01,9.908257126808166504e-01
1.920000000000000000e+02,8.928220272064208984e-01,1.000000000000000000e+00
1.930000000000000000e+02,8.928220272064208984e-01,1.000000000000000000e+00
1.940000000000000000e+02,9.124876856803894043e-01,9.954128265380859375e-01
1.950000000000000000e+02,9.026548862457275391e-01,1.000000000000000000e+00
1.960000000000000000e+02,9.144542813301086426e-01,1.000000000000000000e+00
1.970000000000000000e+02,9.154375791549682617e-01,1.000000000000000000e+00
1.980000000000000000e+02,9.065880179405212402e-01,9.954128265380859375e-01
1.990000000000000000e+02,9.026548862457275391e-01,9.954128265380859375e-01
2.000000000000000000e+02,8.918387293815612793e-01,9.954128265380859375e-01
